customer_id,date,total_amount,transaction_count,avg_amount,std_amount,unique_categories,day_of_week,is_weekend,hour,customer_avg_amount,customer_std_amount,amount_deviation,is_anomaly,anomaly_score
2,2021-02-07,432.33,1,432.33,0.0,1,6,1,12,324.44511627906974,64.26449924862588,1.6530408562538954,1,-0.6262464564212546
2,2021-11-20,225.0,1,225.0,0.0,1,5,1,12,324.44511627906974,64.26449924862588,-1.5237244968391221,1,-0.6412983230691903
4,2023-10-05,230.83,1,230.83,0.0,1,3,0,12,357.19038461538463,64.73550299369082,-1.9222547765020142,1,-0.6230056347725466
4,2023-12-05,216.12,1,216.12,0.0,1,1,0,12,357.19038461538463,64.73550299369082,-2.1460303518012833,1,-0.6417715718467875
12,2023-12-24,2997.26,1,2997.26,0.0,1,6,1,12,2098.859090909091,462.61494842988174,1.9378169580888434,1,-0.6743985136011085
13,2022-10-08,2959.47,1,2959.47,0.0,1,5,1,12,2218.095671641791,478.29207708803267,1.5468111487727325,1,-0.6336397302936303
14,2022-12-24,224.68,1,224.68,0.0,1,5,1,12,323.97125,82.656040906697,-1.1868987454323974,1,-0.6288124472964296
14,2023-12-02,223.38,1,223.38,0.0,1,5,1,12,323.97125,82.656040906697,-1.2024385676127218,1,-0.6300900811919606
15,2024-06-30,428.49,1,428.49,0.0,1,6,1,12,316.5778378378378,67.32751468815766,1.6378784253008767,1,-0.6255379994840305
16,2023-10-14,218.51,1,218.51,0.0,1,5,1,12,331.43111111111114,75.86131625917892,-1.469154011496985,1,-0.6490394963053709
16,2024-06-29,215.27,1,215.27,0.0,1,5,1,12,331.43111111111114,75.86131625917892,-1.5113078563397482,1,-0.6497093569779452
20,2023-02-04,2963.92,1,2963.92,0.0,1,5,1,12,2216.6206097560976,486.75009324086824,1.5321358224217902,1,-0.6391347971914169
20,2024-09-28,2981.03,1,2981.03,0.0,1,5,1,12,2216.6206097560976,486.75009324086824,1.5672152621535436,1,-0.6392762260713534
21,2024-07-28,2956.88,1,2956.88,0.0,1,6,1,12,2198.8212230215827,473.6971537294602,1.5969313719762706,1,-0.6299282411412896
22,2023-09-23,2953.52,1,2953.52,0.0,1,5,1,12,2180.243893129771,484.67138802661964,1.592179662903769,1,-0.6299282411412896
23,2022-06-12,223.55,1,223.55,0.0,1,6,1,12,331.26204081632653,66.69579168944342,-1.5911187110486704,1,-0.6495656199470746
23,2023-03-26,447.89,1,447.89,0.0,1,6,1,12,331.26204081632653,66.69579168944342,1.722824362830527,1,-0.630159895548131
23,2023-05-20,211.15,1,211.15,0.0,1,5,1,12,331.26204081632653,66.69579168944342,-1.7742911016883338,1,-0.6628233138193639
23,2024-06-16,218.03,1,218.03,0.0,1,6,1,12,331.26204081632653,66.69579168944342,-1.672659968817295,1,-0.6550058425776851
26,2024-11-03,447.92,1,447.92,0.0,1,6,1,12,320.4690909090909,72.04741261678123,1.7447696574762699,1,-0.6310131878671031
27,2021-11-13,242.04,1,242.04,0.0,1,5,1,12,333.0428205128205,63.34945947298657,-1.4141971239249158,1,-0.6220663966750549
27,2024-01-21,218.18,1,218.18,0.0,1,6,1,12,333.0428205128205,63.34945947298657,-1.784985009253094,1,-0.6610319102572693
29,2024-12-15,2956.32,1,2956.32,0.0,1,6,1,12,2206.1477272727275,458.81475108991,1.6314663045261626,1,-0.6317239899796456
32,2020-12-05,216.09,1,216.09,0.0,1,5,1,12,323.4815094339623,72.47462702948121,-1.4616135362058,1,-0.6499183532761484
32,2024-03-30,222.3,1,222.3,0.0,1,5,1,12,323.4815094339623,72.47462702948121,-1.3770945634520044,1,-0.6377812269662652
33,2023-09-30,215.1,1,215.1,0.0,1,5,1,12,335.39217391304345,87.50748071692458,-1.3591187201201282,1,-0.6448656228546019
33,2023-11-05,210.03,1,210.03,0.0,1,6,1,12,335.39217391304345,87.50748071692458,-1.4164020136782793,1,-0.6479270174624977
33,2024-06-09,224.98,1,224.98,0.0,1,6,1,12,335.39217391304345,87.50748071692458,-1.2474897378016796,1,-0.6254468626335841
34,2023-04-22,428.44,1,428.44,0.0,1,5,1,12,298.3275,67.35360606530286,1.903520640530577,1,-0.6310642631703316
36,2023-07-22,227.48,1,227.48,0.0,1,5,1,12,311.38,64.3493986918293,-1.2838679724606268,1,-0.6240910659210034
37,2022-04-02,420.36,1,420.36,0.0,1,5,1,12,311.925,62.40355081915378,1.710235445792139,1,-0.6247548130136084
39,2022-12-31,237.32,1,237.32,0.0,1,5,1,12,337.7765789473684,69.00037870151915,-1.4350862211148054,1,-0.6239272762025573
39,2023-11-12,218.72,1,218.72,0.0,1,6,1,12,337.7765789473684,69.00037870151915,-1.7007990693168156,1,-0.6550058425776851
40,2024-01-31,217.19,1,217.19,0.0,1,2,0,12,330.8032,59.06487413006143,-1.8915081675520995,1,-0.6352913029834646
40,2024-05-29,218.76,1,218.76,0.0,1,2,0,12,330.8032,59.06487413006143,-1.8653697626567458,1,-0.6306774697174193
41,2024-06-16,229.31,1,229.31,0.0,1,6,1,12,318.6092857142857,68.52346430959987,-1.2844481586334753,1,-0.6224043434789092
44,2021-02-06,225.21,1,225.21,0.0,1,5,1,12,334.0679166666667,69.68539585571267,-1.5400340529870424,1,-0.6421666978056826
44,2022-07-24,224.31,1,224.31,0.0,1,6,1,12,334.0679166666667,69.68539585571267,-1.5527665274834312,1,-0.6464964830955687
44,2022-08-21,213.62,1,213.62,0.0,1,6,1,12,334.0679166666667,69.68539585571267,-1.7040000301127591,1,-0.6567809154317775
44,2024-01-13,446.53,1,446.53,0.0,1,5,1,12,334.0679166666667,69.68539585571267,1.5910228976137832,1,-0.6231491347993725
49,2023-07-09,239.56,1,239.56,0.0,1,6,1,12,341.702,71.4231424583145,-1.4103502904308682,1,-0.6225747735352597
50,2024-03-24,2982.63,1,2982.63,0.0,1,6,1,12,2252.186875,487.6578881554588,1.494794502872368,1,-0.6415325287202328
50,2024-06-29,2993.36,1,2993.36,0.0,1,5,1,12,2252.186875,487.6578881554588,1.5167526053814724,1,-0.6478861358728717
52,2023-07-08,203.77,1,203.77,0.0,1,5,1,12,319.088,74.0307731284768,-1.536942712859143,1,-0.652352224490685
54,2024-05-05,2985.89,1,2985.89,0.0,1,6,1,12,2244.5838157894736,465.91553795930906,1.5876665562479737,1,-0.6414425159411488
54,2024-10-05,2999.31,1,2999.31,0.0,1,5,1,12,2244.5838157894736,465.91553795930906,1.616408371220877,1,-0.6496419142454811
54,2024-11-30,2967.71,1,2967.71,0.0,1,5,1,12,2244.5838157894736,465.91553795930906,1.5487301779910903,1,-0.6382705223652843
56,2022-12-31,447.09,1,447.09,0.0,1,5,1,12,328.67600000000004,68.10025548587448,1.7136550243899777,1,-0.6288821200900035
56,2024-08-10,233.02,1,233.02,0.0,1,5,1,12,328.67600000000004,68.10025548587448,-1.3843074721996373,1,-0.6273236017042094
57,2022-06-04,216.18,1,216.18,0.0,1,5,1,12,316.6017777777778,73.24195249895094,-1.3526284586763362,1,-0.6439935984764571
57,2022-09-10,438.75,1,438.75,0.0,1,5,1,12,316.6017777777778,73.24195249895094,1.6452722229247434,1,-0.6267582493889048
57,2023-02-18,222.84,1,222.84,0.0,1,5,1,12,316.6017777777778,73.24195249895094,-1.2629217662224423,1,-0.6309432789761102
59,2021-09-09,2998.45,1,2998.45,0.0,1,3,0,12,2198.588974358974,438.0468584676482,1.821812433489863,1,-0.638445200361853
59,2022-01-27,2999.47,1,2999.47,0.0,1,3,0,12,2198.588974358974,438.0468584676482,1.824135647926609,1,-0.638445200361853
